EC,EO
-8.151164992539497,-3.058602436568154
-9.266470262182814,-3.4211315065667844
-10.14319746742794,-3.783048384884081
-10.777154225787307,-4.138415361732066
-11.16918100515495,-4.483544063589936
-11.325723983556653,-4.817031820335603
-11.259340467338047,-5.139493585945516
-10.989037105501566,-5.453026742147182
-10.54033777547115,-5.760477205148802
-9.944993786936097,-6.064601782673972
-9.240282637203252,-6.367239764263513
-8.467881482847536,-6.66860969910018
-7.6723389854940836,-6.96683186783961
-6.899205649634897,-7.257746911553961
-6.192920800008159,-7.53506404415749
-5.594588391385771,-7.790833911155004
-5.139794506871916,-8.016204248958609
-4.8566222104286165,-8.2023833051896
-4.76400600166034,-8.341708708689826
-4.870542530595431,-8.428700341839297
-5.173840596740165,-8.460969284111618
-5.660455624411364,-8.439866991821512
-6.306416043089482,-8.37079004178407
-7.078315708443068,-8.263097700693411
-7.934919926472892,-8.12964209900853
-8.829211001013267,-7.985949761995428
-9.710776806452804,-7.849128154603303
-10.528417076355286,-7.736597354098611
-11.232809506138501,-7.664758423713292
-11.779054764835575,-7.647706302471603
-12.128919764870417,-7.69608258266843
-12.252624409131545,-7.816148082743028
-12.130061317995917,-8.009138625910516
-11.751393154151467,-8.27095108626847
-11.117031827606361,-8.59219098213477
-10.237058067670736,-8.958595173615327
-9.13017643776964,-9.351820186653246
-7.822315290760426,-9.750558649493048
-6.344980953141169,-10.131917359584252
-4.73347309742614,-10.47296418286332
-3.025071184009486,-10.752328447954065
-1.2573076477252427,-10.951722158184216
0.533557712265645,-11.057241721839253
2.313765627296042,-11.060318011165968
4.0529272083602725,-10.958210259433786
5.7245215320263725,-10.753986676984939
7.3060506191020975,-10.455996808802086
8.778915329742055,-10.076905881043908
10.1280988797568,-9.632414507820931
11.341757088865998,-9.139818031782337
12.410811298341242,-8.616566889632649
13.3286185232357,-8.07897532483051
14.090761648994413,-7.5411945865673715
14.69497278415456,-7.014525043933432
15.141180686153847,-6.507096471163034
15.431655702463571,-6.023902239489804
15.571209781268065,-5.567136933523939
15.567396223936244,-5.136764275345026
15.430647011364046,-4.731233906455022
15.174285726092618,-4.348265374050258
14.814361806699548,-3.9856201624209615
14.36926799280349,-3.6417874649281834
13.859125354300598,-3.316516991199462
13.304945050255792,-3.0111407825849676
12.727601427741527,-2.7286364093851065
12.146676887446908,-2.4734015391395614
11.579260509839518,-2.250739394588968
11.038793756894053,-2.066093246559029
10.53405711183443,-1.9241066370034652
10.068385030975614,-1.8276162827800262
9.639184800875714,-1.7767034181693042
9.237817100688373,-1.767935549376391
8.84987380898058,-1.793921374748256
8.455865107479184,-1.8432740975746273
8.032301918662514,-1.9010341185044246
7.553126860295761,-1.9495487748342237
6.991409983426528,-1.9697540126954216
6.321195365386365,-1.9427564410097906
5.519368739012779,-1.8515763065745847
4.567413794994227,-1.682885790916521
3.452932083798831,-1.4285666060209516
2.170816751904575,-1.086917386075396
0.723991423992609,-0.6633652497409823
-0.8763503606817746,-0.17057811081858337
-2.6110421265390498,0.3720689143421601
-4.45378014717528,0.9396582830068638
-6.372457192802737,1.5034541404494222
-8.330906337559753,2.0330644783322693
-10.290921701379446,2.4988800198898447
-12.214387521428074,2.8746004757006256
-14.065328928619172,3.1396433592000457
-15.81170323115392,3.2812257050041387
-17.426779995918317,3.295915489751929
-18.890006845167147,3.19047363363996
-20.18731809969949,2.981855379377856
-21.310906916262006,2.6963110135677266
-22.258539704041016,2.3676137400048503
-23.032535762334394,2.034537725236121
-23.638558414270577,1.7377989786476973
-24.084364725524285,1.516739242744268
-24.378644452405517,1.4060646047762022
-24.530053359835783,1.4329419155737513
-24.546516830599124,1.6147127264953562
-24.434848501812798,1.9574160356871158
-24.200696080901906,2.4552278774639325
-23.84879303845088,3.090837685694206
-23.38346224714931,3.836697268054282
-22.80929006084873,4.657005174546682
-22.131871643964782,5.510234482183928
-21.35852244470521,6.351982953880179
-20.498854981165852,7.1379224328321715
-19.565131842456168,7.826640654006899
-18.572322872472228,8.382192261081792
-17.537816035543738,8.776202638340411
-16.480758613321484,8.989400397540956
-15.421040700355976,9.01249283260127
-14.37797652034945,8.84634127347257
-13.368785678584638,8.501438857535735
-12.407018069075763,7.9967412181766
-11.50109512044556,7.357948511907845
-10.653149417283968,6.615381866377842
-9.858328783729027,5.8016350010193225
-9.104688011000965,4.949205397502724
-8.373726893503209,4.0883101167842275
